11β-HSD1,0.398,0.435,0.449,0.43,0.452
AKT1,0.454,0.453,0.457,0.466,0.565
AKT2,0.325,0.353,0.378,0.355,0.457
AKT3,0.158,0.185,0.196,0.176,0.386
ALK ,0.282,0.309,0.337,0.326,0.361
ACE,0.699,-,0.74,0.831,-
AURKA,0.339,0.389,0.395,0.406,0.424
AURKB,0.397,0.426,0.459,-,-
BCL2,0.296,0.304,0.327,0.328,0.465
BRAF,0.32,0.342,0.374,0.366,0.396
BRD4 ,0.266,0.283,0.298,0.288,0.347
BTK,0.393,0.429,0.443,0.439,-
CCR2,0.314,0.341,0.368,0.387,-
c-Src,0.343,0.387,0.395,0.362,0.439
CDK1,0.295,0.336,0.35,0.332,-
CDK2,0.508,0.568,0.553,-,-
CHK1,0.487,-,0.547,0.539,-
CB1R,0.3,0.371,0.371,0.385,0.445
Cathepsin B,0.346,0.415,0.393,0.404,-
Cathepsin K,0.355,0.396,0.407,0.384,0.522
Cathepsin S,0.324,0.371,0.358,0.368,0.452
DPP-4,0.447,0.5,0.488,0.475,0.532
EGFR,0.405,0.481,0.479,0.457,0.492
FGFR1,0.323,0.335,0.345,0.33,0.403
FGFR2,0.2,0.224,0.25,0.24,0.347
FGFR3,0.192,0.234,0.247,0.239,0.36
FLT3,0.322,0.361,0.38,0.357,0.421
HDAC1,0.388,0.447,0.439,0.405,0.473
HDAC2,0.388,0.464,0.45,0.409,0.503
HDAC6,0.369,0.422,0.404,0.362,0.414
IGF1R,0.277,0.314,0.315,0.328,0.374
JAK1,0.399,0.417,0.423,0.411,0.464
JAK2,0.364,0.396,0.411,0.392,0.428
JAK3,0.338,0.396,0.394,0.399,0.437
MEK1,0.243,0.29,0.286,0.302,0.377
MMP-2,0.484,0.601,0.505,0.505,0.63
MMP-3,0.404,0.433,0.443,0.443,0.542
MMP-9,0.418,0.485,0.447,0.429,0.585
MMP-13,0.489,0.567,0.549,0.581,0.61
MMP-14,0.454,-,0.447,0.455,-
MR,0.365,-,0.387,0.395,-
NAMPT,0.327,0.363,0.334,0.35,0.417
PDGFR-α,0.229,0.312,0.291,0.326,0.366
PDGFR-β,0.297,0.353,0.368,0.344,0.389
PI3K-α,0.338,0.373,0.383,0.379,0.401
PI3K-β,0.368,0.398,0.407,0.416,0.457
PI3K-δ,0.352,0.378,0.39,0.378,0.423
PI3K-γ,0.302,0.333,0.335,0.338,0.368
PKC-θ,0.346,0.378,0.378,-,-
Renin,0.533,0.579,0.592,0.583,-
SYK,0.282,0.306,0.33,0.31,0.336
TNF-α,0.159,0.167,0.19,0.153,-
VEGFR1,0.214,0.252,0.257,0.248,0.304
VEGFR2,0.331,-,0.403,0.369,0.392
VEGFR3,0.236,0.267,0.295,0.323,0.359
ZAP70,0.197,0.252,0.255,0.243,0.407
