target,unit_format,model,val_mae,val_mse,val_rmse,val_R2,test_mae,test_mse,test_rmse,test_R2
VEGFR2_str_act_plus,ic50,ChemProp_DMPNN,0.009431,0.000881,0.029677,0.887805,0.008921,0.001175,0.03428,0.836762
VEGFR2_str_act_plus,ic50,MPNN_net,0.0105572,0.0009473,0.030778,0.8793263,0.0100473,0.0012193,0.0349179,0.8306324
VEGFR2_str_act_plus,ic50,svm,,,,,0.0148315,0.0017184,0.0414541,0.7612906
VEGFR2_str_act_plus,ic50,xgboost,,,,,0.0123728,0.0013892,0.0372718,0.8070278
VEGFR2_str_act_plus,ic50,rf,,,,,0.0083786,0.0014529,0.0381164,0.7981825
VEGFR2_str_act_minus,ic50,ChemProp_DMPNN,0.13288,0.044664,0.211338,0.605722,0.134807,0.045814,0.214042,0.614929
VEGFR2_str_act_minus,ic50,MPNN_net,0.1380549,0.0581676,0.2411796,0.4865136,0.1345772,0.0563622,0.2374072,0.5262681
VEGFR2_str_act_minus,ic50,svm,,,,,0.1139934,0.0434689,0.2084919,0.6346381
VEGFR2_str_act_minus,ic50,xgboost,,,,,0.1335509,0.0431163,0.2076447,0.6376016
VEGFR2_str_act_minus,ic50,rf,,,,,0.1144837,0.0416174,0.2040035,0.6502
PIK3CA_str_act_plus,ic50,ChemProp_DMPNN,0.009975,0.000463,0.021521,0.833573,0.008571,0.000522,0.022856,0.819436
PIK3CA_str_act_plus,ic50,MPNN_net,0.0101266,0.0005604,0.0236719,0.7986509,0.0088175,0.000649,0.0254755,0.7756726
PIK3CA_str_act_plus,ic50,svm,,,,,0.010967,0.0005438,0.0233202,0.8120239
PIK3CA_str_act_plus,ic50,xgboost,,,,,0.0083428,0.0005761,0.0240012,0.8008851
PIK3CA_str_act_plus,ic50,rf,,,,,0.0061289,0.0006751,0.0259828,0.7666492
PIK3CA_str_act_minus,ic50,ChemProp_DMPNN,0.14056,0.046421,0.215456,0.647688,0.144541,0.049513,0.222515,0.61843
PIK3CA_str_act_minus,ic50,MPNN_net,0.1388429,0.0537979,0.2319436,0.5917042,0.1381301,0.0563088,0.2372947,0.5660577
PIK3CA_str_act_minus,ic50,svm,,,,,0.1216862,0.0441984,0.2102341,0.6593863
PIK3CA_str_act_minus,ic50,xgboost,,,,,0.1406374,0.0450996,0.2123668,0.6524408
PIK3CA_str_act_minus,ic50,rf,,,,,0.1184636,0.0413025,0.2032302,0.6817032
EGFR_str_act_plus,ic50,ChemProp_DMPNN,0.015321,0.002322,0.048192,0.710287,0.015851,0.002683,0.051794,0.665467
EGFR_str_act_plus,ic50,MPNN_net,0.0156415,0.0023602,0.0485818,0.7055795,0.0188561,0.0035393,0.0594918,0.5586472
EGFR_str_act_plus,ic50,svm,,,,,0.0184613,0.0017697,0.0420682,0.7793113
EGFR_str_act_plus,ic50,xgboost,,,,,0.0171318,0.0014784,0.0384503,0.8156378
EGFR_str_act_plus,ic50,rf,,,,,0.0123971,0.0014183,0.0376601,0.8231378
EGFR_str_act_minus,ic50,ChemProp_DMPNN,0.127529,0.048325,0.219828,0.58055,0.136621,0.055461,0.235503,0.519437
EGFR_str_act_minus,ic50,MPNN_net,0.1433288,0.060042,0.2450347,0.4788442,0.1349096,0.0578823,0.2405873,0.4984613
EGFR_str_act_minus,ic50,svm,,,,,0.1230946,0.0472403,0.2173483,0.5906721
EGFR_str_act_minus,ic50,xgboost,,,,,0.1439663,0.0523769,0.22886,0.5461644
EGFR_str_act_minus,ic50,rf,,,,,0.1217991,0.0494543,0.2223833,0.5714875
Spleen_tyrosine_kinase_str_act_plus,ic50,ChemProp_DMPNN,0.011666,0.000886,0.029771,0.946481,0.011584,0.001664,0.040798,0.910882
Spleen_tyrosine_kinase_str_act_plus,ic50,MPNN_net,0.0133509,0.0015585,0.0394783,0.9058859,0.0148121,0.0030804,0.0555015,0.8350677
Spleen_tyrosine_kinase_str_act_plus,ic50,svm,,,,,0.0152793,0.0012733,0.0356836,0.9318237
Spleen_tyrosine_kinase_str_act_plus,ic50,xgboost,,,,,0.0147127,0.002332,0.048291,0.8751384
Spleen_tyrosine_kinase_str_act_plus,ic50,rf,,,,,0.0108206,0.0022353,0.0472793,0.880315
Spleen_tyrosine_kinase_str_act_minus,ic50,ChemProp_DMPNN,0.093997,0.032813,0.181144,0.573693,0.090361,0.029324,0.171243,0.603688
